ski_resort_name,city,country,longitude,latitude,rating,elevation_info,total_slopes,blue_slopes,red_slopes,black_slopes,total_lifts,total_big_gondolas,total_gondolas,total_chairlifts,total_t_bars,total_moving_carpets
Ski resort Rokantiškės,Vilnius,Lithuania,25.2829111,54.6870458,,195 m - 215 m (Difference 20 m),0.2,0.2,0.0,0.0,0.0,0,0,0,0,0
Ski resort Mayskaya Gora,Mayskiy (Майский),,,,2.0 out of 5 stars,120 m - 142 m (Difference 22 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Juxkopf – Spiegelberg,Jux,Germany,9.5304602,48.8980113,2.0 out of 5 stars,483 m - 525 m (Difference 42 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Tarasp,Tarasp,Switzerland,10.2607908,46.777999,2.0 out of 5 stars,1410 m - 1450 m (Difference 40 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Schleißberg – Gickelsberg (Ohorn),Gickelsberg,Germany,14.0980255,51.1201296,2.0 out of 5 stars,370 m - 410 m (Difference 40 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Burgbühl – Obernheim,Obernheim,Germany,8.8605489,48.1628786,2.0 out of 5 stars,910 m - 930 m (Difference 20 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Erlenberg – Thurmansbang,Thurmansbang,Germany,13.3151419,48.7661177,2.0 out of 5 stars,520 m - 570 m (Difference 50 m),0.2,0.0,0.2,0.0,1.0,0,0,0,0,0
Ski resort Globus Ski – Lublin,Lublin,Poland,22.5701022,51.250559,,190 m - 210 m (Difference 20 m),0.4,0.4,0.0,0.0,0.0,0,0,0,0,0
Ski resort Rödebybacken,Rödeby,Sweden,15.6171754,56.2612021,2.0 out of 5 stars,42 m - 80 m (Difference 38 m),0.3,0.3,0.0,0.0,2.0,0,0,0,0,0
Ski resort Schierling,Schierling,Germany,12.1378625,48.8350879,2.0 out of 5 stars,388 m - 408 m (Difference 20 m),0.1,0.1,0.0,0.0,1.0,0,0,0,0,0
Ski resort Tauchnerfeld – Stall,Stall,Austria,13.0343034,46.8866446,2.0 out of 5 stars,850 m - 880 m (Difference 30 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Wildmooslift – Oberau (Berchtesgaden),Bad Dürrnberg,Germany,,,2.0 out of 5 stars,836 m - 880 m (Difference 44 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Dissenhorn – Göllsdorf (Rottweil),Göllsdorf,Germany,8.6576007,48.1617099,2.0 out of 5 stars,574 m - 615 m (Difference 41 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
